Order_ID,Company_Name,Order_Date,State,City,City_Tier,Store_Type,Product_Category,Product_Name,Quantity_Sold,Unit_Price_INR,Payment_Method,GST_Rate_Pct,Discount_Applied_Pct,Delivery_Days
IND-2024-100021,Avenue Supermarts (DMart),14-09-2024,Karnataka,Bengaluru,Tier 1,Quick-Commerce Hub,Packaged Food,Maggi 2-Min Noodles 420g,1,120,Cash / COD,5,20,6
IND-2024-100022,Tata Consultancy Services,24-04-2024,Delhi NCR,New Delhi,Tier 1,Kirana Store,Household Supplies,Vim Dishwash Liquid Gel 750ml,18,155,UPI,18,5,6
IND-2024-100023,Reliance Jio Infocomm,,Madhya Pradesh,Indore,Tier 2,Supermarket,Beverages,Nescafe Classic Instant Coffee 100g,6,290,UPI,18,10,7
IND-2024-100024,HCL Technologies,30-09-2024,Karnataka,Bengaluru,Tier 1,Quick-Commerce Hub,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,8,495,Cash / COD,18,25,2
IND-2024-100025,Tech Mahindra,12-Mar-24,Gujarat,Ahmedabad,Tier 2,Quick-Commerce Hub,Household Supplies,Surf Excel Easy Wash Detergent 2kg,11,380,Cash / COD,18,10,1
IND-2024-100026,ITC Limited,19-Dec-24,Uttar Pradesh,Lucknow,Tier 2,Kirana Store,Household Supplies,Vim Dishwash Liquid Gel 750ml,7,₹155.00,Debit Card,18,25,6
IND-2024-100027,Bajaj Finserv B2B,17-03-2025,Gujarat,Ahmedabad,Tier 2,Hypermarket,Packaged Food,Parle-G Gold Biscuits 1kg,24,140,Net Banking,5,10,5
IND-2024-100028,ITC Limited,,Delhi NCR,New Delhi,Tier 1,Hypermarket,Packaged Food,Maggi 2-Min Noodles 420g,10,120,Net Banking,5,15,6
IND-2024-100029,Avenue Supermarts (DMart),22-06-2024,Tamil Nadu,Chennai,Tier 1,Hypermarket,Beverages,Nescafe Classic Instant Coffee 100g,22,290,UPI,18,15,5
IND-2024-100030,Reliance Retail,,Madhya Pradesh,Indore,Tier 2,Supermarket,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),16,210,UPI,18,5,2
IND-2024-100031,Zomato Enterprise,20-04-2025,Bihar,Patna,Tier 3,Supermarket,Packaged Food,Parle-G Gold Biscuits 1kg,15,140,Debit Card,5,15,5
IND-2024-100032,Zomato Enterprise,,Delhi NCR,New Delhi,Tier 1,Quick-Commerce Hub,Beverages,Nescafe Classic Instant Coffee 100g,21,290,Cash / COD,18,0,6
IND-2024-100033,Tech Mahindra,09-Dec-24,Bihar,Patna,Tier 3,Kirana Store,Beverages,Nescafe Classic Instant Coffee 100g,13,₹290.00,Credit Card,18,15,4
IND-2024-100034,ITC Limited,02-02-2025,Madhya Pradesh,Indore,Tier 2,Quick-Commerce Hub,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,10,440,Credit Card,0,25,5
IND-2024-100035,HCL Technologies,14-05-2025,Tamil Nadu,Chennai,Tier 1,Quick-Commerce Hub,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),11,210,Credit Card,18,20,5
IND-2024-100036,Godrej Consumer Products,29-08-2025,Karnataka,Bengaluru,Tier 1,Quick-Commerce Hub,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,6,495,Net Banking,18,15,3
IND-2024-100037,ITC Limited,15-09-2024,Rajasthan,Jaipur,Tier 2,Kirana Store,Packaged Food,Maggi 2-Min Noodles 420g,12,120,UPI,5,5,2
IND-2024-100038,Flipkart India,05-06-2024,Delhi NCR,New Delhi,Tier 1,Quick-Commerce Hub,Household Supplies,Vim Dishwash Liquid Gel 750ml,7,155,Debit Card,18,25,6
IND-2024-100039,Infosys Limited,14-11-2024,Madhya Pradesh,Indore,Tier 2,Kirana Store,Household Supplies,Vim Dishwash Liquid Gel 750ml,22,155,Cash / COD,18,25,7
IND-2024-100040,Reliance Jio Infocomm,14-Dec-25,Madhya Pradesh,Indore,Tier 2,Kirana Store,Household Supplies,Vim Dishwash Liquid Gel 750ml,2,155,Debit Card,18,0,7
IND-2024-100041,Avenue Supermarts (DMart),,Gujarat,Ahmedabad,Tier 2,Quick-Commerce Hub,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),6,210,Debit Card,18,15,4
IND-2024-100042,Zepto Commerce,01-Oct-24,Telangana,Hyderabad,Tier 1,Kirana Store,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,8,495,Net Banking,18,10,2
IND-2024-100043,Bajaj Finserv B2B,21-Sep-24,Tamil Nadu,Chennai,Tier 1,Hypermarket,Household Supplies,Surf Excel Easy Wash Detergent 2kg,7,380,Cash / COD,18,25,6
IND-2024-100044,Tata Consultancy Services,05-Apr-24,Telangana,Hyderabad,Tier 1,Quick-Commerce Hub,Dairy & Staples,Amul Pasteurized Butter 500g,22,275,Credit Card,0,20,3
IND-2024-100045,Titan Company,04-Oct-24,Tamil Nadu,Chennai,Tier 1,Supermarket,Beverages,Nescafe Classic Instant Coffee 100g,11,290,Cash / COD,18,25,4
IND-2024-100046,Zepto Commerce,21-Jun-25,Karnataka,Bengaluru,Tier 1,Supermarket,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,6,440,UPI,0,20,3
IND-2024-100047,Bharti Airtel,,Karnataka,Bengaluru,Tier 1,Kirana Store,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,16,₹495.00,Credit Card,18,0,4
IND-2024-100048,Zepto Commerce,06-10-2025,Delhi NCR,New Delhi,Tier 1,Supermarket,Dairy & Staples,Amul Pasteurized Butter 500g,3,275,Debit Card,0,20,2
IND-2024-100049,Godrej Consumer Products,,Tamil Nadu,Chennai,Tier 1,Quick-Commerce Hub,Household Supplies,Vim Dishwash Liquid Gel 750ml,2,155,Cash / COD,18,10,6
IND-2024-100050,HCL Technologies,26-06-2024,Delhi NCR,New Delhi,Tier 1,Kirana Store,Household Supplies,Vim Dishwash Liquid Gel 750ml,16,155,Credit Card,18,5,3
IND-2024-100051,Zepto Commerce,08-11-2025,Uttar Pradesh,Lucknow,Tier 2,Kirana Store,Beverages,Tata Tea Gold 500g,9,320,Net Banking,5,20,3
IND-2024-100052,Titan Company,06-Dec-25,Uttar Pradesh,Lucknow,Tier 2,Hypermarket,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,15,495,Net Banking,18,0,1
IND-2024-100053,Zepto Commerce,24-08-2025,Tamil Nadu,Chennai,Tier 1,Kirana Store,Beverages,Tata Tea Gold 500g,16,320,Debit Card,5,15,1
IND-2024-100054,ITC Limited,07-Dec-24,Karnataka,Bengaluru,Tier 1,Supermarket,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,10,495,UPI,18,10,3
IND-2024-100055,Godrej Consumer Products,10-06-2025,Bihar,Patna,Tier 3,Quick-Commerce Hub,Beverages,Nescafe Classic Instant Coffee 100g,17,290,UPI,18,20,2
IND-2024-100056,Titan Company,,Karnataka,Bengaluru,Tier 1,Kirana Store,Household Supplies,Vim Dishwash Liquid Gel 750ml,8,₹155.00,Credit Card,18,0,4
IND-2024-100057,Bharti Airtel,25-May-25,Bihar,Patna,Tier 3,Hypermarket,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,16,495,Debit Card,18,5,7
IND-2024-100058,ITC Limited,14-Dec-24,Maharashtra,Mumbai,Tier 1,Hypermarket,Household Supplies,Vim Dishwash Liquid Gel 750ml,19,155,Debit Card,18,10,5
IND-2024-100059,Godrej Consumer Products,11-Apr-25,Telangana,Hyderabad,Tier 1,Supermarket,Beverages,Nescafe Classic Instant Coffee 100g,25,290,Credit Card,18,25,7
IND-2024-100060,Bharti Airtel,22-05-2025,Delhi NCR,New Delhi,Tier 1,Hypermarket,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,4,495,Credit Card,18,5,1
IND-2024-100061,Tech Mahindra,,Karnataka,Bengaluru,Tier 1,Hypermarket,Household Supplies,Surf Excel Easy Wash Detergent 2kg,13,380,Credit Card,18,0,5
IND-2024-100062,Adani Enterprises,20-08-2024,Uttar Pradesh,Lucknow,Tier 2,Kirana Store,Packaged Food,Parle-G Gold Biscuits 1kg,15,₹140.00,Net Banking,5,10,3
IND-2024-100063,Bharti Airtel,,Madhya Pradesh,Indore,Tier 2,Supermarket,Packaged Food,Parle-G Gold Biscuits 1kg,20,140,Debit Card,5,15,6
IND-2024-100064,Tech Mahindra,13-11-2025,Rajasthan,Jaipur,Tier 2,Hypermarket,Beverages,Tata Tea Gold 500g,3,320,Credit Card,5,15,7
IND-2024-100065,Godrej Consumer Products,09-05-2025,Telangana,Hyderabad,Tier 1,Quick-Commerce Hub,Household Supplies,Vim Dishwash Liquid Gel 750ml,10,155,Credit Card,18,20,7
IND-2024-100066,Tata Consumer Products,,Tamil Nadu,Chennai,Tier 1,Supermarket,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,8,440,Cash / COD,0,25,6
IND-2024-100067,Titan Company,04-Feb-24,Delhi NCR,New Delhi,Tier 1,Kirana Store,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,24,440,Net Banking,0,10,7
IND-2024-100068,Avenue Supermarts (DMart),29-Oct-24,Karnataka,Bengaluru,Tier 1,Quick-Commerce Hub,Beverages,Tata Tea Gold 500g,25,320,Credit Card,5,20,3
IND-2024-100069,Godrej Consumer Products,15-Jan-24,Bihar,Patna,Tier 3,Kirana Store,Dairy & Staples,Amul Pasteurized Butter 500g,19,275,Cash / COD,0,20,5
IND-2024-100070,Flipkart India,14-08-2024,Rajasthan,Jaipur,Tier 2,Hypermarket,Packaged Food,Parle-G Gold Biscuits 1kg,5,140,UPI,5,20,2
IND-2024-100071,Bajaj Finserv B2B,,Madhya Pradesh,Indore,Tier 2,Supermarket,Packaged Food,Parle-G Gold Biscuits 1kg,16,140,Net Banking,5,15,2
IND-2024-100072,Reliance Jio Infocomm,03-Dec-25,Bihar,Patna,Tier 3,Hypermarket,Dairy & Staples,Amul Pasteurized Butter 500g,7,275,UPI,0,25,6
IND-2024-100073,Tata Consultancy Services,21-Feb-24,Telangana,Hyderabad,Tier 1,Supermarket,Beverages,Nescafe Classic Instant Coffee 100g,3,290,Cash / COD,18,5,7
IND-2024-100074,Tata Consultancy Services,10-10-2024,Delhi NCR,New Delhi,Tier 1,Hypermarket,Packaged Food,Parle-G Gold Biscuits 1kg,22,140,Cash / COD,5,0,2
IND-2024-100075,Bharti Airtel,07-03-2025,Karnataka,Bengaluru,Tier 1,Quick-Commerce Hub,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,17,440,Debit Card,0,25,5
IND-2024-100076,Tata Consultancy Services,,Uttar Pradesh,Lucknow,Tier 2,Quick-Commerce Hub,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,23,₹495.00,Debit Card,18,5,3
IND-2024-100077,Zepto Commerce,15-Jul-25,Uttar Pradesh,Lucknow,Tier 2,Hypermarket,Household Supplies,Vim Dishwash Liquid Gel 750ml,14,155,Debit Card,18,5,4
IND-2024-100078,HCL Technologies,27-Feb-25,Rajasthan,Jaipur,Tier 2,Quick-Commerce Hub,Packaged Food,Parle-G Gold Biscuits 1kg,11,140,Cash / COD,5,15,1
IND-2024-100079,Reliance Retail,,Karnataka,Bengaluru,Tier 1,Hypermarket,Household Supplies,Surf Excel Easy Wash Detergent 2kg,2,380,UPI,18,25,7
IND-2024-100080,Tata Consumer Products,21-Oct-24,Gujarat,Ahmedabad,Tier 2,Kirana Store,Beverages,Nescafe Classic Instant Coffee 100g,5,290,Debit Card,18,10,5
IND-2024-100081,ITC Limited,28-07-2025,Madhya Pradesh,Indore,Tier 2,hypermarket,Dairy & Staples,Amul Pasteurized Butter 500g,23,275,Cash / COD,0,20,6
IND-2024-100082,Bharti Airtel,10-10-2025,Karnataka,Bengaluru,Tier 1,Supermarket,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,11,495,Debit Card,18,0,2
IND-2024-100083,Flipkart India,20-02-2024,Tamil Nadu,Chennai,Tier 1,Quick-Commerce Hub,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,20,495,UPI,18,0,3
IND-2024-100084,Zepto Commerce,13-May-25,Maharashtra,Mumbai,Tier 1,Supermarket,Household Supplies,Vim Dishwash Liquid Gel 750ml,-2,155,Cash / COD,18,10,3
IND-2024-100085,Avenue Supermarts (DMart),16-03-2025,Delhi NCR,New Delhi,Tier 1,Quick-Commerce Hub,Beverages,Nescafe Classic Instant Coffee 100g,17,290,Credit Card,18,0,4
IND-2024-100086,Reliance Retail,,Madhya Pradesh,Indore,Tier 2,Quick-Commerce Hub,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),10,,Net Banking,18,20,4
IND-2024-100087,Bajaj Finserv B2B,,Karnataka,Bengaluru,Tier 1,Supermarket,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),17,210,Cash / COD,18,5,1
IND-2024-100088,Reliance Jio Infocomm,27-06-2025,Gujarat,Ahmedabad,Tier 2,Hypermarket,Beverages,Tata Tea Gold 500g,8,320,Cash / COD,5,25,1
IND-2024-100089,Avenue Supermarts (DMart),,Madhya Pradesh,Indore,Tier 2,Hypermarket,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,5,440,Net Banking,0,10,5
IND-2024-100090,Titan Company,07-04-2025,Maharashtra,Mumbai,Tier 1,Hypermarket,Packaged Food,Parle-G Gold Biscuits 1kg,21,140,Debit Card,5,20,5
IND-2024-100091,Tata Consumer Products,05-04-2025,Gujarat,Ahmedabad,Tier 2,Quick-Commerce Hub,Packaged Food,Maggi 2-Min Noodles 420g,15,120,UPI,5,5,1
IND-2024-100092,Titan Company,25-03-2025,Gujarat,Ahmedabad,Tier 2,Hypermarket,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),14,₹210.00,Net Banking,18,0,5
IND-2024-100093,Adani Enterprises,15-09-2024,Gujarat,Ahmedabad,Tier 2,Kirana Store,Beverages,Tata Tea Gold 500g,12,320,Cash / COD,5,0,3
IND-2024-100094,Mahindra & Mahindra,10-05-2024,Uttar Pradesh,Lucknow,Tier 2,hypermarket,Dairy & Staples,Amul Pasteurized Butter 500g,6,275,Cash / COD,0,5,2
IND-2024-100095,Reliance Jio Infocomm,03-06-2025,Gujarat,Ahmedabad,Tier 2,Supermarket,Beverages,Tata Tea Gold 500g,6,320,Cash / COD,5,0,4
IND-2024-100096,HCL Technologies,30-Mar-25,Rajasthan,Jaipur,Tier 2,Supermarket,Dairy & Staples,Amul Pasteurized Butter 500g,16,275,Debit Card,0,15,7
IND-2024-100097,Godrej Consumer Products,,Delhi NCR,New Delhi,Tier 1,Supermarket,Beverages,Tata Tea Gold 500g,9,320,UPI,5,20,7
IND-2024-100098,Reliance Retail,13-Jun-24,Rajasthan,Jaipur,Tier 2,Supermarket,Packaged Food,Parle-G Gold Biscuits 1kg,8,140,Credit Card,5,20,3
IND-2024-100099,Reliance Retail,18-01-2025,Maharashtra,Mumbai,Tier 1,Hypermarket,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,5,440,Cash / COD,0,15,4
IND-2024-100100,Reliance Retail,20-Jan-24,Telangana,Hyderabad,Tier 1,Supermarket,Household Supplies,Vim Dishwash Liquid Gel 750ml,17,155,UPI,18,15,6
IND-2024-100101,Titan Company,05-03-2024,Rajasthan,Jaipur,Tier 2,Kirana Store,Household Supplies,Vim Dishwash Liquid Gel 750ml,8,₹155.00,Net Banking,18,15,2
IND-2024-100102,Reliance Retail,20-Jun-25,Karnataka,Bengaluru,Tier 1,Kirana Store,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,2,495,UPI,18,0,3
IND-2024-100103,Reliance Jio Infocomm,18-Aug-25,Delhi NCR,New Delhi,Tier 1,Kirana Store,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,21,440,Credit Card,0,5,1
IND-2024-100104,Titan Company,07-Feb-24,Telangana,Hyderabad,Tier 1,Kirana Store,Packaged Food,Maggi 2-Min Noodles 420g,11,120,Debit Card,5,0,7
IND-2024-100105,Adani Enterprises,31-12-2024,Gujarat,Ahmedabad,Tier 2,Hypermarket,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,14,440,Credit Card,0,5,4
IND-2024-100106,Bajaj Finserv B2B,15-Jun-25,Karnataka,Bengaluru,Tier 1,Quick-Commerce Hub,Household Supplies,Vim Dishwash Liquid Gel 750ml,6,₹155.00,Net Banking,18,20,6
IND-2024-100107,Titan Company,,Maharashtra,Mumbai,Tier 1,Hypermarket,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),9,₹210.00,Credit Card,18,25,6
IND-2024-100108,Tata Consultancy Services,,Maharashtra,Mumbai,Tier 1,Supermarket,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,12,440,Credit Card,0,10,4
IND-2024-100109,Zepto Commerce,20-May-24,Uttar Pradesh,Lucknow,Tier 2,Hypermarket,Beverages,Nescafe Classic Instant Coffee 100g,4,290,Debit Card,18,10,6
IND-2024-100110,Flipkart India,,Telangana,Hyderabad,Tier 1,Kirana Store,Packaged Food,Parle-G Gold Biscuits 1kg,15,140,Net Banking,5,25,1
IND-2024-100111,Adani Enterprises,03-11-2024,Delhi NCR,New Delhi,Tier 1,Hypermarket,Packaged Food,Parle-G Gold Biscuits 1kg,7,140,Net Banking,5,10,4
IND-2024-100112,Swiggy Instamart,12-05-2024,Karnataka,Bengaluru,Tier 1,Hypermarket,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,17,495,Cash / COD,18,25,1
IND-2024-100113,Zomato Enterprise,18-12-2024,Bihar,Patna,Tier 3,Supermarket,Beverages,Tata Tea Gold 500g,14,320,Debit Card,5,5,2
IND-2024-100114,HCL Technologies,20-Dec-24,Karnataka,Bengaluru,Tier 1,Hypermarket,Household Supplies,Surf Excel Easy Wash Detergent 2kg,9,380,Debit Card,18,20,5
IND-2024-100115,Flipkart India,11-Sep-25,Madhya Pradesh,Indore,Tier 2,Kirana Store,Packaged Food,Maggi 2-Min Noodles 420g,3,120,Cash / COD,5,15,5
IND-2024-100116,Avenue Supermarts (DMart),04-Oct-25,Tamil Nadu,Chennai,Tier 1,Quick-Commerce Hub,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),10,210,Credit Card,18,5,3
IND-2024-100117,Mahindra & Mahindra,22-Nov-24,Uttar Pradesh,Lucknow,Tier 2,Supermarket,Household Supplies,Surf Excel Easy Wash Detergent 2kg,18,380,Credit Card,18,0,1
IND-2024-100118,Godrej Consumer Products,,Telangana,Hyderabad,Tier 1,Supermarket,Household Supplies,Vim Dishwash Liquid Gel 750ml,24,155,Debit Card,18,10,4
IND-2024-100119,Godrej Consumer Products,,Telangana,Hyderabad,Tier 1,Supermarket,Packaged Food,Maggi 2-Min Noodles 420g,2,120,Credit Card,5,0,7
IND-2024-100120,Bharti Airtel,27-Sep-24,Uttar Pradesh,Lucknow,Tier 2,hypermarket,Packaged Food,Maggi 2-Min Noodles 420g,19,120,Credit Card,5,20,3
IND-2024-100121,Flipkart India,27-11-2025,Delhi NCR,New Delhi,Tier 1,Kirana Store,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,18,440,Debit Card,0,0,1
IND-2024-100122,Mahindra & Mahindra,,Delhi NCR,New Delhi,Tier 1,Supermarket,Household Supplies,Vim Dishwash Liquid Gel 750ml,11,155,Net Banking,18,20,7
IND-2024-100123,Avenue Supermarts (DMart),30-Jul-25,Rajasthan,Jaipur,Tier 2,Kirana Store,Packaged Food,Parle-G Gold Biscuits 1kg,14,140,UPI,5,10,6
IND-2024-100124,Zepto Commerce,14-08-2025,Maharashtra,Mumbai,Tier 1,Quick-Commerce Hub,Household Supplies,Vim Dishwash Liquid Gel 750ml,25,155,UPI,18,25,1
IND-2024-100125,Titan Company,,Delhi NCR,New Delhi,Tier 1,Quick-Commerce Hub,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),17,210,UPI,18,20,2
IND-2024-100126,Avenue Supermarts (DMart),,Gujarat,Ahmedabad,Tier 2,Supermarket,Household Supplies,Surf Excel Easy Wash Detergent 2kg,11,380,Net Banking,18,5,2
IND-2024-100127,Adani Enterprises,18-Aug-24,Tamil Nadu,Chennai,Tier 1,Supermarket,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,11,495,Net Banking,18,20,6
IND-2024-100128,Godrej Consumer Products,19-12-2024,Tamil Nadu,Chennai,Tier 1,Kirana Store,Packaged Food,Parle-G Gold Biscuits 1kg,12,140,Cash / COD,5,20,3
IND-2024-100129,Tech Mahindra,20-05-2024,Madhya Pradesh,Indore,Tier 2,Supermarket,Household Supplies,Surf Excel Easy Wash Detergent 2kg,8,380,Credit Card,18,5,1
IND-2024-100130,Infosys Limited,,Rajasthan,Jaipur,Tier 2,Supermarket,Dairy & Staples,Amul Pasteurized Butter 500g,11,275,Debit Card,0,25,6
IND-2024-100131,Tata Consumer Products,,Delhi NCR,New Delhi,Tier 1,Kirana Store,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),16,210,Net Banking,18,0,3
IND-2024-100132,Reliance Jio Infocomm,09-Dec-24,Rajasthan,Jaipur,Tier 2,Quick-Commerce Hub,Beverages,Tata Tea Gold 500g,17,320,Cash / COD,5,25,3
IND-2024-100133,Tata Consultancy Services,11-Dec-24,Madhya Pradesh,Indore,Tier 2,Supermarket,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),14,210,Cash / COD,18,15,3
IND-2024-100134,Tata Consultancy Services,,Telangana,Hyderabad,Tier 1,Quick-Commerce Hub,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,10,440,Net Banking,0,0,6
IND-2024-100135,Adani Enterprises,,Bihar,Patna,Tier 3,Hypermarket,Dairy & Staples,Amul Pasteurized Butter 500g,12,275,Cash / COD,0,20,3
IND-2024-100136,Swiggy Instamart,27-04-2025,Telangana,Hyderabad,Tier 1,Kirana Store,Household Supplies,Surf Excel Easy Wash Detergent 2kg,23,380,Debit Card,18,5,5
IND-2024-100137,Infosys Limited,,Karnataka,Bengaluru,Tier 1,Supermarket,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,3,₹495.00,Cash / COD,18,15,5
IND-2024-100138,Titan Company,19-Nov-25,Maharashtra,Mumbai,Tier 1,Quick-Commerce Hub,Packaged Food,Maggi 2-Min Noodles 420g,24,120,UPI,5,0,1
IND-2024-100139,Avenue Supermarts (DMart),02-Feb-24,Uttar Pradesh,Lucknow,Tier 2,Supermarket,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),12,210,Credit Card,18,25,6
IND-2024-100140,Bharti Airtel,31-Oct-25,Karnataka,Bengaluru,Tier 1,Supermarket,Personal Care,Dettol Antiseptic Soap 125g (Pack of 4),17,210,UPI,18,15,6
IND-2024-100141,ITC Limited,,Telangana,Hyderabad,Tier 1,Supermarket,Beverages,Tata Tea Gold 500g,9,320,UPI,5,15,5
IND-2024-100142,Tata Consultancy Services,03-09-2024,Karnataka,Bengaluru,Tier 1,Kirana Store,Personal Care,Dove Hair Fall Rescue Shampoo 650ml,20,495,UPI,18,5,5
IND-2024-100143,Tata Consumer Products,23-May-24,Telangana,Hyderabad,Tier 1,Hypermarket,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,8,440,Cash / COD,0,10,1
IND-2024-100144,Zepto Commerce,,Bihar,Patna,Tier 3,quick-commerce hub,Dairy & Staples,Aashirvaad Shuddh Atta 10kg,21,440,Credit Card,0,10,4
IND-2024-100145,Swiggy Instamart,29-04-2025,Telangana,Hyderabad,Tier 1,Hypermarket,Beverages,Tata Tea Gold 500g,15,320,Debit Card,5,15,2
